attempt_cost_pareto_frontier,attempts,conditional_failed_spend_usd,conditional_successful_spend_usd,config,failures,harness,imputed_cost_rows,mean_cost_per_attempt_usd,model,observed_cost_rows,pass_rate,pass_rate_rank,provider,rank_displacement,realized_cpsc_rank,realized_cpsc_usd,realized_reliability_tax_share,realized_reliability_tax_usd,reasoning_effort,successes,total_cost_usd
True,450,8.456175487804877,8.36020419266055,mini_swe_agent_gpt_5_6_sol_max,123,mini-swe-agent,0,8.386436346666667,gpt-5-6-sol,450,0.7266666666666667,1.0,openai,6.0,7.0,11.540967449541284,0.27560629304150397,3.180763256880734,max,327,3773.896356
False,452,12.963830066045167,13.60848995886076,mini_swe_agent_claude_fable_5_xhigh,136,mini-swe-agent,4,13.414521495535714,claude-fable-5,448,0.6991150442477876,2.0,vertex_ai,7.0,9.0,19.187859860702982,0.29077603976402056,5.579369901842224,xhigh,316,6063.363715982143
True,451,5.051086087591241,4.89993096178344,mini_swe_agent_gpt_5_6_terra_max,137,mini-swe-agent,0,4.945847263858093,gpt-5-6-terra,451,0.6962305986696231,3.0,openai,-1.0,2.0,7.103748777070064,0.31023307333168215,2.2038178152866243,max,314,2230.577116
True,448,2.931728413605442,3.0751902132890367,mini_swe_agent_gpt_5_6_luna_max,147,mini-swe-agent,0,3.028116810267857,gpt-5-6-luna,448,0.671875,4.0,openai,-3.0,1.0,4.506964554817276,0.3176804086461885,1.4317743415282391,max,301,1356.596331
False,452,6.55605865771812,7.555796161716172,mini_swe_agent_gpt_5_5_xhigh,149,mini-swe-agent,0,7.226236674778761,gpt-5-5,452,0.6703539823008849,5.0,openai,0.0,5.0,10.779732597359736,0.2990738783662591,3.223936435643564,xhigh,303,3266.258977
False,429,13.124020295454544,13.291149365612648,mini_swe_agent_claude_opus_4_8_max,176,mini-swe-agent,0,13.222583593240094,claude-opus-4-8,429,0.5897435897435898,6.0,anthropic,5.0,11.0,22.420902614624506,0.4071982919660328,9.129753249011857,max,253,5672.4883615
False,442,25.010648916911762,27.59061040840336,mini_swe_agent_claude_sonnet_5_max,204,mini-swe-agent,0,26.399858950791856,claude-sonnet-5,442,0.5384615384615384,7.0,anthropic,5.0,12.0,49.02830948004201,0.43725144307423675,21.43769907163865,max,238,11668.73765625
False,452,5.372920458715597,5.912881331196581,mini_swe_agent_gpt_5_4_xhigh,218,mini-swe-agent,0,5.6524577245575225,gpt-5-4,452,0.5176991150442478,8.0,openai,-2.0,6.0,10.918422613247865,0.4584491239584197,5.005541282051283,xhigh,234,2554.9108915
False,450,3.875285297549407,3.9772143561421323,mini_swe_agent_glm_5_2_max,253,mini-swe-agent,0,3.9199075743111114,glm-5-2,450,0.43777777777777777,9.0,zai,-6.0,3.0,8.954103596142133,0.5558221642805526,4.97688924,max,197,1763.95840844
False,452,7.7404378749116605,6.674322620414201,mini_swe_agent_gemini_3_5_flash_medium,283,mini-swe-agent,0,7.341823985508849,gemini-3-5-flash,452,0.37389380530973454,10.0,vertex_ai,0.0,10.0,19.636120955325442,0.6600997398824802,12.961798334911242,medium,169,3318.50444145
True,452,2.9822505508280255,2.4362007898550724,mini_swe_agent_kimi_k2_7_code_default,314,mini-swe-agent,0,2.8155362432743365,kimi-k2-7-code,452,0.3053097345132743,11.0,openrouter,-7.0,4.0,9.221901318550724,0.7358244568336006,6.785700528695652,,138,1272.62238196
False,451,5.519482631962025,5.529067774444444,mini_swe_agent_claude_sonnet_4_6_high,316,mini-swe-agent,0,5.5223517987804875,claude-sonnet-4-6,451,0.29933481152993346,12.0,anthropic,-4.0,8.0,18.44874563888889,0.7003011541993678,12.919677864444443,high,135,2490.58066125
False,451,9.066408922110552,12.59875857735849,mini_swe_agent_gemini_3_1_pro_preview_high,398,mini-swe-agent,0,9.481518748558758,gemini-3-1-pro-preview,451,0.11751662971175167,13.0,vertex_ai,0.0,13.0,80.68235765283019,0.8438474166611497,68.0835990754717,high,53,4276.1649556
