eligible_configurations,minimum_cpsc_config,minimum_cpsc_usd,minimum_pass_rate,observed_pass_rate
40,mini_swe_agent_gpt_5_6_terra_medium,1.6698853375527427,0.0,0.3495575221238938
39,mini_swe_agent_gpt_5_6_terra_medium,1.6698853375527427,0.05,0.3495575221238938
39,mini_swe_agent_gpt_5_6_terra_medium,1.6698853375527427,0.1,0.3495575221238938
37,mini_swe_agent_gpt_5_6_terra_medium,1.6698853375527427,0.15,0.3495575221238938
37,mini_swe_agent_gpt_5_6_terra_medium,1.6698853375527427,0.2,0.3495575221238938
36,mini_swe_agent_gpt_5_6_terra_medium,1.6698853375527427,0.25,0.3495575221238938
34,mini_swe_agent_gpt_5_6_terra_medium,1.6698853375527427,0.3,0.3495575221238938
31,mini_swe_agent_gpt_5_6_luna_high,1.758055695,0.35,0.4424778761061947
28,mini_swe_agent_gpt_5_6_luna_high,1.758055695,0.4,0.4424778761061947
25,mini_swe_agent_gpt_5_6_terra_high,2.1100332386831275,0.45,0.5376106194690266
21,mini_swe_agent_gpt_5_6_terra_high,2.1100332386831275,0.5,0.5376106194690266
15,mini_swe_agent_gpt_5_6_luna_xhigh,2.7007778575875485,0.55,0.5685840707964602
13,mini_swe_agent_gpt_5_6_sol_medium,3.04941440942029,0.6,0.6106194690265486
10,mini_swe_agent_gpt_5_6_luna_max,4.623261913879781,0.65,0.6747787610619469
2,mini_swe_agent_gpt_5_6_sol_xhigh,6.649932301041667,0.7,0.7079646017699115
0,,,0.75,
