panel_configurations,panel_solving_configurations,stratum,task_name
41,37,common,abs-module-cache-flags
41,36,common,abs-stepped-slices
41,40,common,actionlint-action-pinning-lint
41,31,common,adaptix-name-mapping-aliases
41,33,common,aiomonitor-task-snapshots-diff
41,37,common,anko-default-function-arguments
41,27,contested,anko-typed-variable-bindings
41,36,common,arcane-drift-detection-baselines
41,31,common,arktype-json-schema-refs-dependencies
41,27,contested,awilix-async-container-initialization
41,29,contested,bandit-incremental-cache-control
41,32,common,bandit-interprocedural-taint-checks
41,6,rare,bandit-structured-nosec-directives
41,30,contested,boa-hierarchical-evaluation-cancellation
41,35,common,cattrs-partial-structuring-recovery
41,24,contested,clack-async-autocomplete-options
41,38,common,claude-code-by-agents-recursive-delegation
41,31,common,cliffy-config-file-parsing
41,22,contested,csstree-shorthand-expansion-compression
41,27,contested,dasel-html-document-format
41,23,contested,dateutil-rfc5545-timezone-interop
41,39,common,drizzle-orm-window-function-builders
41,35,common,dynamodb-toolbox-conditional-attribute-requirements
41,34,common,dynamodb-toolbox-lazy-recursive-schemas
41,17,rare,effect-sse-httpapi-streaming
41,20,rare,eicrud-keyset-pagination-cursor
41,34,common,etree-xml-diff-patch
41,20,rare,expr-try-catch-errors
41,32,common,fastapi-deprecation-response-headers
41,33,common,fastapi-implicit-head-options
41,34,common,fd-deterministic-multi-key-sorting
41,37,common,geo-shapeindex-serialization
41,33,common,go-critic-doc-link-checker
41,35,common,go-genai-streamed-function-args
41,32,common,go-git-worktree-merge-conflicts
41,40,common,goreleaser-retry-publish-auditing
41,4,rare,gql-incremental-graphql-delivery
41,40,common,happy-dom-abort-pending-body-reads
41,24,contested,happy-dom-deterministic-intersectionobserver
41,14,rare,helm-array-merge-strategies
41,38,common,helm-unified-manifest-stream
41,39,common,httpx-deterministic-cookie-store
41,36,common,httpx-multipart-response-parsing
41,32,common,httpx-streaming-json-iteration
41,31,common,igel-persist-feature-schema
41,28,contested,ink-grid-box-layout
41,34,common,ipython-session-bundle-replay
41,23,contested,katex-multicolumn-array-spans
41,38,common,kcp-go-multiplexed-kcp-streams
41,23,contested,kea-atomic-signal-selectors
41,25,contested,kgateway-consistent-hash-policy
41,31,common,kombu-single-active-consumer-priority
41,15,rare,kombu-virtual-queue-dead-lettering
41,22,contested,koota-composite-trait-aspects
41,19,rare,koota-deferred-mutation-buffer
41,37,common,koota-entity-snapshot-rollback
41,15,rare,koota-pair-relation-tracking
41,17,rare,koota-query-predicates
41,35,common,kysely-window-grouping-helpers
41,28,contested,langchain-request-coalescing
41,29,contested,mashumaro-flattened-dataclass-fields
41,19,rare,meriyah-explicit-resource-declarations
41,31,common,mnamer-daemon-watch-lifecycle
41,32,common,mobly-grouped-test-barriers
41,38,common,narwhals-rolling-window-suite
41,34,common,numba-stencil-boundary-modes
41,1,rare,obsidian-linter-auto-table-of-contents
41,28,contested,obsidian-linter-link-format-conversion
41,36,common,obsidian-linter-scoped-ignore-markers
41,38,common,ofetch-per-origin-circuit-breaker
41,25,contested,onedump-dump-encryption-pipeline
41,36,common,opa-rego-rule-profiling
41,34,common,opa-template-string-reconstruction
41,21,contested,optique-conditional-option-dependencies
41,10,rare,oxvg-structural-selector-preservation
41,20,rare,participle-grammar-conflict-analysis
41,31,common,pebble-durability-wait-apis
41,16,rare,pest-character-class-coalescing
41,21,contested,prometheus-transactional-reload-status
41,33,common,prometheus-typed-label-sorting
41,37,common,psd-tools-blend-range-api
41,26,contested,pwntools-tube-multiplexing
41,21,contested,python-statemachine-state-data-scoping
41,40,common,query-persist-restored-query-state
41,25,contested,quill-shared-toolbar-focus
41,37,common,returns-validated-error-accumulation
41,37,common,scc-bounded-memory-spilling
41,29,contested,scriggo-method-declarations
41,32,common,skrub-duration-encoding
41,39,common,sql-formatter-bigquery-pipe-formatting
41,25,contested,sqlfmt-create-table-ddl-formatting
41,32,common,sqlite-utils-safe-import-checkpoints
41,22,contested,superjson-error-stack-serialization
41,38,common,task-task-graph-export
41,35,common,tengo-callable-instance-isolation
41,28,contested,tengo-destructuring-bindings
41,22,contested,termenv-preserve-ansi-resets
41,13,rare,testem-bail-on-test-failure
41,32,common,testem-per-launcher-reports
41,22,contested,textual-kitty-key-phases
41,35,common,textual-richlog-follow-state
41,31,common,tomlkit-toml-table-converters
41,40,common,true-myth-iterable-collection-combinators
41,40,common,ts-pattern-match-each
41,11,rare,updo-policy-alerting
41,35,common,valibot-recursive-schema-composition
41,36,common,vitest-duration-sharding
41,29,contested,vulture-persistent-analysis-cache
41,30,contested,wasmi-trap-coredumps
41,39,common,wazero-multi-module-snapshots
41,40,common,yaegi-go-embed-directives
41,38,common,yjs-map-conflict-detection
41,39,common,ytt-jsonpath-query-api
