minimum_pass_rate,most_selected_config,most_selected_count,most_selected_share_all_replicates,no_eligible_configuration_replicates,point_estimate_winner,point_winner_meets_floor_bootstrap_share,point_winner_meets_floor_replicates,point_winner_pass_rate_defined_replicates,point_winner_selection_count,point_winner_selection_share_all_replicates,selected_cpsc_usd_ci_high,selected_cpsc_usd_ci_low,selected_pass_rate_ci_high,selected_pass_rate_ci_low,selection_defined_replicates
0.0,mini_swe_agent_gpt_5_6_terra_medium,5345,0.5345,0,mini_swe_agent_gpt_5_6_terra_medium,1.0,10000,10000,5345,0.5345,1.969461577194444,1.3188130153835225,0.4889380530973451,0.13274336283185842,10000
0.05,mini_swe_agent_gpt_5_6_terra_medium,5345,0.5345,0,mini_swe_agent_gpt_5_6_terra_medium,1.0,10000,10000,5345,0.5345,1.969461577194444,1.3188130153835225,0.4889380530973451,0.13274336283185842,10000
0.1,mini_swe_agent_gpt_5_6_terra_medium,5345,0.5345,0,mini_swe_agent_gpt_5_6_terra_medium,1.0,10000,10000,5345,0.5345,1.969461577194444,1.3188130153835225,0.4889380530973451,0.13274336283185842,10000
0.15,mini_swe_agent_gpt_5_6_terra_medium,5783,0.5783,0,mini_swe_agent_gpt_5_6_terra_medium,1.0,10000,10000,5783,0.5783,1.9745935103032848,1.3188130153835225,0.4889380530973451,0.16592920353982302,10000
0.2,mini_swe_agent_gpt_5_6_terra_medium,5982,0.5982,0,mini_swe_agent_gpt_5_6_terra_medium,1.0,10000,10000,5982,0.5982,1.9745935103032848,1.3479439402815316,0.4911504424778761,0.24222222222222223,10000
0.25,mini_swe_agent_gpt_5_6_terra_medium,6238,0.6238,0,mini_swe_agent_gpt_5_6_terra_medium,0.999,9990,10000,6238,0.6238,1.9880578403988867,1.3479439402815316,0.4911504424778761,0.2577777777777778,10000
0.3,mini_swe_agent_gpt_5_6_terra_medium,7112,0.7112,0,mini_swe_agent_gpt_5_6_terra_medium,0.935,9350,10000,7112,0.7112,1.9994474499518302,1.3480957682989698,0.49336283185840707,0.30957683741648107,10000
0.35,mini_swe_agent_gpt_5_6_luna_high,5278,0.5278,0,mini_swe_agent_gpt_5_6_terra_medium,0.5137,5137,10000,4680,0.468,2.1047970481306146,1.3728198740236928,0.49557522123893805,0.352549889135255,10000
0.4,mini_swe_agent_gpt_5_6_luna_high,8345,0.8345,0,mini_swe_agent_gpt_5_6_luna_high,0.907,9070,10000,8345,0.8345,2.376945306606104,1.3733791852971853,0.5221238938053098,0.4026548672566372,10000
0.45,mini_swe_agent_gpt_5_6_terra_high,5689,0.5689,0,mini_swe_agent_gpt_5_6_terra_high,0.9942,9942,10000,5689,0.5689,2.450610526048787,1.481621613296329,0.5730088495575221,0.45132743362831856,10000
0.5,mini_swe_agent_gpt_5_6_terra_high,8176,0.8176,0,mini_swe_agent_gpt_5_6_terra_high,0.879,8790,10000,8176,0.8176,3.1800548867592795,1.5193454348646673,0.5995575221238938,0.5022123893805309,10000
0.55,mini_swe_agent_gpt_5_6_luna_xhigh,3783,0.3783,0,mini_swe_agent_gpt_5_6_luna_xhigh,0.7036,7036,10000,3783,0.3783,3.855564776304381,1.8285806816614751,0.6311138763197586,0.5508849557522124,10000
0.6,mini_swe_agent_gpt_5_6_sol_medium,4261,0.4261,1,mini_swe_agent_gpt_5_6_sol_medium,0.6085,6085,10000,4261,0.4261,5.2595877243681395,1.8949395899722934,0.6933333333333334,0.6017699115044248,9999
0.65,mini_swe_agent_gpt_5_6_luna_max,5732,0.5732,26,mini_swe_agent_gpt_5_6_luna_max,0.7599,7599,10000,5732,0.5732,7.397325272833941,2.619175770990418,0.7263881561593245,0.6504424778761062,9974
0.7,mini_swe_agent_gpt_5_6_sol_high,2985,0.2985,1171,mini_swe_agent_gpt_5_6_sol_xhigh,0.5958,5958,10000,1636,0.1636,19.078497078856028,3.7811791574178746,0.754424778761062,0.7006651884700665,8829
0.75,mini_swe_agent_gpt_5_6_sol_max,1326,0.1326,6707,,,0,0,0,,28.177166007477616,4.1941054787228795,0.7874693405019327,0.75,3293
