eligible_configurations,minimum_cpsc_config,minimum_pass_rate,pass_rate_ci_low,point_cpsc_usd,point_pass_rate,status
41,mini_swe_agent_gpt_5_6_terra_medium,0.0,0.28444444444444444,1.661153265822785,0.3511111111111111,exploratory_lower_95_percentile_bound_eligibility
40,mini_swe_agent_gpt_5_6_terra_medium,0.05,0.28444444444444444,1.661153265822785,0.3511111111111111,exploratory_lower_95_percentile_bound_eligibility
38,mini_swe_agent_gpt_5_6_terra_medium,0.1,0.28444444444444444,1.661153265822785,0.3511111111111111,exploratory_lower_95_percentile_bound_eligibility
38,mini_swe_agent_gpt_5_6_terra_medium,0.15,0.28444444444444444,1.661153265822785,0.3511111111111111,exploratory_lower_95_percentile_bound_eligibility
37,mini_swe_agent_gpt_5_6_terra_medium,0.2,0.28444444444444444,1.661153265822785,0.3511111111111111,exploratory_lower_95_percentile_bound_eligibility
33,mini_swe_agent_gpt_5_6_terra_medium,0.25,0.28444444444444444,1.661153265822785,0.3511111111111111,exploratory_lower_95_percentile_bound_eligibility
32,mini_swe_agent_gpt_5_6_luna_high,0.3,0.37831858407079644,1.758055695,0.4424778761061947,exploratory_lower_95_percentile_bound_eligibility
28,mini_swe_agent_gpt_5_6_luna_high,0.35,0.37831858407079644,1.758055695,0.4424778761061947,exploratory_lower_95_percentile_bound_eligibility
25,mini_swe_agent_gpt_5_6_terra_high,0.4,0.47123893805309736,2.1100332386831275,0.5376106194690266,exploratory_lower_95_percentile_bound_eligibility
20,mini_swe_agent_gpt_5_6_terra_high,0.45,0.47123893805309736,2.1100332386831275,0.5376106194690266,exploratory_lower_95_percentile_bound_eligibility
16,mini_swe_agent_gpt_5_6_luna_xhigh,0.5,0.5,2.7007778575875485,0.5685840707964602,exploratory_lower_95_percentile_bound_eligibility
11,mini_swe_agent_gpt_5_6_luna_max,0.55,0.609375,4.506964554817276,0.671875,exploratory_lower_95_percentile_bound_eligibility
9,mini_swe_agent_gpt_5_6_luna_max,0.6,0.609375,4.506964554817276,0.671875,exploratory_lower_95_percentile_bound_eligibility
1,mini_swe_agent_gpt_5_6_sol_max,0.65,0.6570796460176991,11.540967449541284,0.7266666666666667,exploratory_lower_95_percentile_bound_eligibility
0,,0.7,,,,exploratory_lower_95_percentile_bound_eligibility
0,,0.75,,,,exploratory_lower_95_percentile_bound_eligibility
