a_lower_replicates,a_lower_share,config_a,config_b,defined_replicates,point_ratio_a_over_b,ratio_ci_high,ratio_ci_low,resource_metric
10000,1.0,mini_swe_agent_gpt_5_6_sol_high,mini_swe_agent_gpt_5_6_sol_max,10000,0.6305741896987458,0.6765720516947552,0.5876832569408913,agent_steps_per_success
10000,1.0,mini_swe_agent_gpt_5_6_sol_high,mini_swe_agent_gpt_5_6_sol_max,10000,0.35930334891767207,0.3879291660098273,0.33096105651002417,input_tokens_per_success
10000,1.0,mini_swe_agent_gpt_5_6_sol_high,mini_swe_agent_gpt_5_6_sol_max,10000,0.34366902546888806,0.3717752963014784,0.3152163824448877,cache_tokens_per_success
10000,1.0,mini_swe_agent_gpt_5_6_sol_high,mini_swe_agent_gpt_5_6_sol_max,10000,0.4963689274958892,0.5324097181703202,0.46252398042813814,output_tokens_per_success
10000,1.0,mini_swe_agent_gpt_5_6_sol_high,mini_swe_agent_gpt_5_6_sol_max,10000,0.5512806622185296,0.5970109574562024,0.5089765139285672,agent_seconds_per_success
10000,1.0,mini_swe_agent_gpt_5_6_sol_high,mini_swe_agent_gpt_5_6_sol_max,10000,0.592890396891629,0.642564119264294,0.5484769864390664,trial_seconds_per_success
10000,1.0,mini_swe_agent_gpt_5_6_sol_high,mini_swe_agent_gpt_5_6_sol_max,10000,0.3522992976795866,0.3807571794091028,0.32407621756444827,total_tokens_per_success
10000,1.0,mini_swe_agent_gpt_5_6_sol_xhigh,mini_swe_agent_gpt_5_6_sol_max,10000,0.7379790731538888,0.7851339743255984,0.695280409889109,agent_steps_per_success
10000,1.0,mini_swe_agent_gpt_5_6_sol_xhigh,mini_swe_agent_gpt_5_6_sol_max,10000,0.5533674816428966,0.5927515965948288,0.5179304708360909,input_tokens_per_success
10000,1.0,mini_swe_agent_gpt_5_6_sol_xhigh,mini_swe_agent_gpt_5_6_sol_max,10000,0.549343668989152,0.5886770770926333,0.5137376558504959,cache_tokens_per_success
10000,1.0,mini_swe_agent_gpt_5_6_sol_xhigh,mini_swe_agent_gpt_5_6_sol_max,10000,0.697494954317053,0.7367601788852315,0.6609963627149553,output_tokens_per_success
10000,1.0,mini_swe_agent_gpt_5_6_sol_xhigh,mini_swe_agent_gpt_5_6_sol_max,10000,0.7287150706071276,0.7878017122912538,0.6809921286340407,agent_seconds_per_success
10000,1.0,mini_swe_agent_gpt_5_6_sol_xhigh,mini_swe_agent_gpt_5_6_sol_max,10000,0.7520680190455371,0.8104597490530401,0.7046995442035862,trial_seconds_per_success
10000,1.0,mini_swe_agent_gpt_5_6_sol_xhigh,mini_swe_agent_gpt_5_6_sol_max,10000,0.5519893921525229,0.5912378773519898,0.5164926451366793,total_tokens_per_success
0,0.0,mini_swe_agent_gpt_5_6_luna_max,mini_swe_agent_gpt_5_6_sol_max,10000,1.7953784150061398,1.9753432951844925,1.6303788711006355,agent_steps_per_success
0,0.0,mini_swe_agent_gpt_5_6_luna_max,mini_swe_agent_gpt_5_6_sol_max,10000,2.1122779326369834,2.350172777662476,1.892146069076877,input_tokens_per_success
0,0.0,mini_swe_agent_gpt_5_6_luna_max,mini_swe_agent_gpt_5_6_sol_max,10000,2.138031275683808,2.382789227333937,1.912103116723767,cache_tokens_per_success
0,0.0,mini_swe_agent_gpt_5_6_luna_max,mini_swe_agent_gpt_5_6_sol_max,10000,1.322790557506958,1.4474034367817705,1.2058525002831846,output_tokens_per_success
713,0.0713,mini_swe_agent_gpt_5_6_luna_max,mini_swe_agent_gpt_5_6_sol_max,10000,1.0761093241631625,1.1853349601877847,0.9753819896504108,agent_seconds_per_success
557,0.0557,mini_swe_agent_gpt_5_6_luna_max,mini_swe_agent_gpt_5_6_sol_max,10000,1.0810075384951183,1.1882983531328217,0.9813244685820667,trial_seconds_per_success
0,0.0,mini_swe_agent_gpt_5_6_luna_max,mini_swe_agent_gpt_5_6_sol_max,10000,2.1216166147002595,2.3626566803492506,1.8990738783336942,total_tokens_per_success
0,0.0,mini_swe_agent_gpt_5_6_luna_max,mini_swe_agent_gpt_5_6_sol_high,10000,2.8472120241138863,3.13529693938016,2.5908701036498973,agent_steps_per_success
0,0.0,mini_swe_agent_gpt_5_6_luna_max,mini_swe_agent_gpt_5_6_sol_high,10000,5.878815043054258,6.597415181694859,5.2674028517336,input_tokens_per_success
0,0.0,mini_swe_agent_gpt_5_6_luna_max,mini_swe_agent_gpt_5_6_sol_high,10000,6.221192825762419,7.008997396923587,5.549323238687917,cache_tokens_per_success
0,0.0,mini_swe_agent_gpt_5_6_luna_max,mini_swe_agent_gpt_5_6_sol_high,10000,2.6649342540038696,2.920175366358801,2.434345185986562,output_tokens_per_success
0,0.0,mini_swe_agent_gpt_5_6_luna_max,mini_swe_agent_gpt_5_6_sol_high,10000,1.9520171809265985,2.160248820132767,1.7712681916930189,agent_seconds_per_success
0,0.0,mini_swe_agent_gpt_5_6_luna_max,mini_swe_agent_gpt_5_6_sol_high,10000,1.8232839394305613,2.0144390639710497,1.6537247710414782,trial_seconds_per_success
0,0.0,mini_swe_agent_gpt_5_6_luna_max,mini_swe_agent_gpt_5_6_sol_high,10000,6.022199387493109,6.766468651076988,5.386525888742972,total_tokens_per_success
