complete_four_attempt_tasks,config,four_of_four_tasks,incomplete_scored_attempt_tasks,no_scored_attempt_tasks,one_to_three_of_four_tasks,task_coverage_rate,tasks_in_suite,tasks_with_any_success,tasks_with_scored_attempts,zero_of_four_tasks
91,mini_swe_agent_claude_fable_5_high,42,22,0,36,0.8672566371681416,113,98,113,13
94,mini_swe_agent_claude_fable_5_low,28,19,0,48,0.8141592920353983,113,92,113,18
97,mini_swe_agent_claude_fable_5_max,56,16,0,29,0.8407079646017699,113,95,113,12
97,mini_swe_agent_claude_fable_5_medium,39,16,0,42,0.831858407079646,113,94,113,16
113,mini_swe_agent_claude_fable_5_xhigh,58,0,0,42,0.8849557522123894,113,100,113,13
113,mini_swe_agent_claude_opus_4_8_high,29,0,0,59,0.7787610619469026,113,88,113,25
112,mini_swe_agent_claude_opus_4_8_low,22,1,0,54,0.6814159292035398,113,77,113,36
103,mini_swe_agent_claude_opus_4_8_max,36,8,2,48,0.7787610619469026,113,88,111,19
113,mini_swe_agent_claude_opus_4_8_medium,27,0,0,59,0.7610619469026548,113,86,113,27
110,mini_swe_agent_claude_opus_4_8_xhigh,32,3,0,57,0.8053097345132744,113,91,113,21
112,mini_swe_agent_claude_sonnet_4_6_high,6,1,0,58,0.5663716814159292,113,64,113,48
113,mini_swe_agent_claude_sonnet_5_high,25,0,0,65,0.7964601769911505,113,90,113,23
112,mini_swe_agent_claude_sonnet_5_low,9,1,0,56,0.5752212389380531,113,65,113,47
106,mini_swe_agent_claude_sonnet_5_max,29,7,0,57,0.7876106194690266,113,89,113,20
111,mini_swe_agent_claude_sonnet_5_medium,16,2,0,56,0.6460176991150443,113,73,113,39
112,mini_swe_agent_claude_sonnet_5_xhigh,26,1,0,58,0.7522123893805309,113,85,113,28
112,mini_swe_agent_gemini_3_1_pro_preview_high,2,1,0,30,0.2831858407079646,113,32,113,80
113,mini_swe_agent_gemini_3_5_flash_medium,13,0,0,62,0.6637168141592921,113,75,113,38
113,mini_swe_agent_glm_5_2_high,11,0,0,66,0.6814159292035398,113,77,113,36
111,mini_swe_agent_glm_5_2_max,15,2,0,70,0.7699115044247787,113,87,113,26
113,mini_swe_agent_gpt_5_4_xhigh,28,0,0,60,0.7787610619469026,113,88,113,25
113,mini_swe_agent_gpt_5_5_high,42,0,0,60,0.9026548672566371,113,102,113,11
113,mini_swe_agent_gpt_5_5_low,10,0,0,44,0.4778761061946903,113,54,113,59
113,mini_swe_agent_gpt_5_5_medium,32,0,0,56,0.7787610619469026,113,88,113,25
113,mini_swe_agent_gpt_5_5_xhigh,49,0,0,51,0.8849557522123894,113,100,113,13
113,mini_swe_agent_gpt_5_6_luna_high,18,0,0,67,0.7522123893805309,113,85,113,28
113,mini_swe_agent_gpt_5_6_luna_low,0,0,0,5,0.04424778761061947,113,5,113,108
111,mini_swe_agent_gpt_5_6_luna_max,41,2,0,59,0.9026548672566371,113,102,113,11
113,mini_swe_agent_gpt_5_6_luna_medium,2,0,0,29,0.2743362831858407,113,31,113,82
113,mini_swe_agent_gpt_5_6_luna_xhigh,32,0,0,57,0.7876106194690266,113,89,113,24
112,mini_swe_agent_gpt_5_6_sol_high,55,1,0,42,0.8672566371681416,113,98,113,15
113,mini_swe_agent_gpt_5_6_sol_low,22,0,0,59,0.7168141592920354,113,81,113,32
112,mini_swe_agent_gpt_5_6_sol_max,61,1,0,35,0.8584070796460177,113,97,113,16
113,mini_swe_agent_gpt_5_6_sol_medium,41,0,0,50,0.8053097345132744,113,91,113,22
112,mini_swe_agent_gpt_5_6_sol_xhigh,59,1,0,37,0.8584070796460177,113,97,113,16
113,mini_swe_agent_gpt_5_6_terra_high,25,0,0,66,0.8053097345132744,113,91,113,22
110,mini_swe_agent_gpt_5_6_terra_low,6,3,0,42,0.4424778761061947,113,50,113,62
112,mini_swe_agent_gpt_5_6_terra_max,55,1,0,44,0.8849557522123894,113,100,113,13
111,mini_swe_agent_gpt_5_6_terra_medium,14,2,0,54,0.6017699115044248,113,68,113,43
113,mini_swe_agent_gpt_5_6_terra_xhigh,41,0,0,50,0.8053097345132744,113,91,113,22
113,mini_swe_agent_kimi_k2_7_code_default,9,0,0,60,0.6106194690265486,113,69,113,44
